PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Minutes_Played,Nineties_Played,Starts,Role_In_Prev_Club_Index,Goals,Assists,PKs,PKsM,Prev_Comp,Key_Passes,CrsPA,Progressive_Passes,Performance_Index,Nationality,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
rachid alioui,Centre-Forward,27,19/20,nîmes,angers,4000000,0.0,0.0,0.0,1252,13.9,11.0,32.85992759676971,5,0,0,0,Ligue 1,20,3,22,18.76866205258676,MAR,0,5,4,-1,0
jason remeseiro,Right Winger,19,19/20,levante,valencia,5000000,0.0,0.388,0.1555649122807017,2330,25.9,26.0,68.46978557504872,2,0,0,0,Serie A,5,1,29,6.664706200230004,ESP,0,4,3,-1,0
sergio leon,Centre-Forward,30,19/20,real betis,levante,3000000,4000000.0,0.0,0.0,638,7.1,6.0,17.286271233639656,0,1,0,0,Liga,6,1,3,3.3283534257246843,ESP,0,3,4,1,0
jacob bruun larsen,Left Winger,20,19/20,dortmund,hoffenheim,12000000,9000000.0,0.142,0.472060187871253,1265,14.1,16.0,39.703425229741015,2,2,0,0,Bundesliga,18,1,39,14.284533184144642,DEN,0,1,3,2,0
pedro neto,Right Winger,19,19/20,lazio,wolves,2500000,17900000.0,0.0,0.0,46,0.5,0.0,0.6613756613756614,0,0,0,0,Serie A,1,0,1,0.4021156948713247,POR,0,2,4,2,1
rafael leao,Left Winger,20,19/20,lille,ac milan,15000000,49500000.0,0.0,0.0,1287,14.3,16.0,39.96797549429129,8,3,0,0,Ligue 1,13,1,17,16.439277526169473,POR,0,2,1,-1,1
wissam ben yedder,Centre-Forward,28,19/20,sevilla fc,monaco,40000000,40000000.0,0.0,0.0,2812,31.2,31.0,82.0593149540518,18,9,2,0,Liga,44,3,100,66.23911207069642,FRA,0,2,2,0,1
adam szalai,Centre-Forward,31,19/20,hoffenheim,mainz,3000000,0.0,0.0,0.0,1627,18.1,15.0,43.67864104706211,6,3,0,0,Bundesliga,27,0,30,24.51235300104618,HUN,0,3,3,0,0
alex alegria,Centre-Forward,26,19/20,real betis,rcd mallorca,800000,0.0,0.0,0.0,140,1.6,0.0,2.1164021164021167,0,0,0,0,Liga,3,0,5,1.6778197415554836,ESP,0,3,4,1,0
alberto cerri,Centre-Forward,23,19/20,juventus,cagliari,6000000,9000000.0,0.4991,0.2820086687306501,670,7.4,7.0,18.998886104149264,0,0,0,0,Serie A,9,0,10,4.191130641419605,ITA,0,1,4,3,0
ademola lookman,Centre-Forward,21,19/20,everton,leipzig,20000000,18000000.0,0.0,0.0,618,6.9,3.0,13.07435254803676,0,2,0,0,Premier League,10,4,24,10.013286881290504,NGA,0,3,1,-2,0
lys mousset,Centre-Forward,23,19/20,bournemouth,sheffield utd,3500000,11100000.0,0.0,0.0,368,4.1,1.0,6.739069896964633,1,0,0,0,Premier League,4,0,12,4.769714486345086,FRA,0,4,5,1,0
m'baye niang,Centre-Forward,24,19/20,torino,rennes jugend,12000000,15000000.0,0.0,0.0,1793,19.9,19.0,51.32275132275132,11,4,2,0,Ligue 1,11,3,44,32.61877376204786,SEN,0,3,2,-1,1
fabio borini,Centre-Forward,28,19/20,ac milan,hellas verona,5000000,0.0,0.0,0.0,1054,11.7,10.0,28.634085213032577,2,2,0,0,Serie A,13,0,26,12.691602352463669,ITA,0,1,4,3,0
paco alcacer,Centre-Forward,25,19/20,barcelona,dortmund,37000000,21000000.0,0.1023,0.4833666285278414,1211,13.5,11.0,32.330827067669176,18,0,1,0,Bundesliga,15,0,17,36.45585113312295,ESP,0,1,1,0,1
paco alcacer,Centre-Forward,25,19/20,dortmund,villarreal,42000000,25000000.0,0.0,0.0,1211,13.5,11.0,32.330827067669176,18,0,1,0,Bundesliga,15,0,17,36.45585113312295,ESP,0,1,2,1,0
patrick cutrone,Centre-Forward,21,19/20,ac milan,wolves,28000000,18000000.0,0.0,0.0,1457,16.2,12.0,37.21804511278196,3,2,0,0,Serie A,21,1,13,14.804257751498492,ITA,0,1,4,3,0
riccardo orsolini,Right Winger,22,19/20,juventus,bologna,15000000,15000000.0,0.3494,0.3827526315789473,1964,21.8,19.0,53.83597883597884,8,5,0,0,Serie A,20,11,68,31.21195105482792,ITA,0,1,3,2,1
andrea petagna,Centre-Forward,24,19/20,atalanta,spal,20000000,12000000.0,0.3817,0.1031035087719298,3031,33.7,35.0,90.62935115566697,16,1,6,0,Serie A,28,7,68,49.19533668352997,ITA,0,2,5,3,1
