PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Defensive_Actions,Progressive_Actions,Passes_Completed_P90,Attacking_Contributions,Mistake_Rate,Total_Carry_Distance,Duel_Efficiency,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
leonardo spinazzola,Full-Back,25,19/20,juventus,roma,15000000,29500000,0.455492049,0.4144,10,601,6.7,0.583333333,13.92678869,44.32612313,6.439267887,0.034431138,912.1297837,2.24625624,0,1,1,0,1
luca marrone,Centre-Back,28,19/20,juventus,hellas verona,800000,450000,0.197448842,0.6269,23,1960,21.8,0.857142857,4.591836735,52.85204082,0.367346939,0.012711864,1438.346939,2.112244898,0,1,4,3,0
enock kwateng,Full-Back,21,19/20,nantes,g. bordeaux,4000000,0,0,0,30,2040,22.7,0.832167832,6.661764706,41.38235294,2.691176471,0.040358744,905.25,3.617647059,0,3,3,0,0
aaron wan-bissaka,Full-Back,20,19/20,crystal palace,man utd,35000000,55000000,0,0,35,3134,34.8,0.816901408,7.437779196,32.91001914,1.723037652,0.046064401,672.5877473,3.819400128,0,3,1,-2,0
nacho monreal,Full-Back,32,19/20,arsenal,real sociedad,8000000,250000,0,0,22,1861,20.7,0.727272727,5.754970446,55.42181623,1.499193982,0.014940239,1071.778614,2.563138098,0,1,3,2,0
sergi palencia,Full-Back,22,19/20,barcelona,saint-étienne,6000000,2000000,0.151926316,0.3385,25,1986,22.1,0.736263736,6.027190332,42.09969789,2.628398792,0.034502588,916.858006,3.126888218,0,1,3,2,0
mohamed fares,Full-Back,22,19/20,hellas verona,spal,6000000,3500000,0,0,35,2949,32.8,0.829059829,6.012207528,33.54018311,3.112919634,0.062015504,658.7182096,2.563580875,0,4,5,1,0
xabi etxeita,Centre-Back,30,19/20,bilbao athletic,getafe,2000000,0,0,0,,1775,,0.782874507,69.42368394,821.6157205,8.193295614,0.021233523,22210.81467,55.65074736,1,3,3,0,0
alberto almici,Full-Back,25,19/20,atalanta,hellas verona,500000,500000,8.281077578,2.461111111,,1772,,0.80952381,132.4069952,831.0651828,56.25755167,0.032114147,17662.20986,41.57820738,1,2,4,2,0
alberto moreno,Full-Back,26,19/20,liverpool,villarreal,9000000,0,0,0,,1242,,0.742306456,94.83597285,626.7393715,42.11451759,0.026763521,13255.25665,28.98681954,1,1,2,1,1
