PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
jasper cillessen,Goalkeeper,30.0,19/20,barcelona,valencia,18000000.0,35000000.0,0.0,0.0,3,270.0,3,7.894736842105263,3,4,14,10,78.6,1,33.3,50.768097003553706,0,1,3,3,0
emil audero,Goalkeeper,22.0,19/20,juventus,sampdoria,15000000.0,20000000.0,0.0,0.2664,36,3240.0,36,94.73684210526316,36,51,147,96,70.1,11,30.6,86.18609725816108,0,1,3,4,0
alex remiro,Goalkeeper,24.0,19/20,bilbao athletic,real sociedad,1500000.0,0.0,0.0,0.0,18,1617.6363636363635,18,47.368421052631575,18,20,66,46,73.5,6,29.8,61.59753449252104,1,3,3,0,1
Pau López,Goalkeeper,24.0,19/20,real betis,roma,20000000.0,23500000.0,0.0,0.0,33,2970.0,33,86.84210526315789,33,47,134,86,67.2,10,30.3,80.4548941006789,0,3,1,0,0
alfred gomis,Goalkeeper,25.0,19/20,spal,dijon,2000000.0,1000000.0,0.0,0.0,20,1724.0,19,50.0,19,27,76,49,65.8,6,31.6,62.69971382064644,0,5,5,0,1
kevin trapp,Goalkeeper,29.0,19/20,paris sg,frankfurt,10000000.0,7000000.0,0.0,0.0,33,2937.0,33,86.84210526315789,33,48,158,111,70.3,8,24.2,84.04290443893721,0,1,3,2,1
keylor navas,Goalkeeper,32.0,19/20,real madrid,paris sg,10000000.0,15000000.0,0.0,0.0,10,900.0,10,26.31578947368421,10,8,31,23,74.2,4,40.0,59.99925279657554,0,1,1,0,1
gabriel brazao,Goalkeeper,19.0,19/20,parma,inter,2000000.0,6300000.0,0.0,0.0,17,1562.4444444444443,17,44.73684210526315,17,28,80,52,68.1,4,12.2,47.77242103823617,1,4,1,-4,0
tom heaton,Goalkeeper,33.0,19/20,burnley,aston villa,3000000.0,8800000.0,0.0,0.0,19,1710.0,19,50.0,19,27,83,59,68.7,4,21.1,56.92583662047905,0,4,3,-2,0
oier olazabal,Goalkeeper,29.0,19/20,levante,espanyol,2000000.0,1500000.0,0.0,0.0,21,1890.0,21,55.26315789473684,21,40,135,95,73.3,5,23.8,77.87074993434919,0,4,3,-1,1
tomas koubek,Goalkeeper,26.0,19/20,rennes jugend,augsburg,6000000.0,7500000.0,0.0,0.0,33,2925.0,32,84.21052631578947,32,48,138,90,67.4,9,28.1,79.84916904015896,0,2,3,1,1
david ospina,Goalkeeper,30.0,19/20,arsenal,napoli,4000000.0,3500000.0,0.3079751813551473,0.1989,17,1457.0,16,42.10526315789473,16,20,62,42,69.4,5,31.3,59.73265016177325,0,1,1,0,1
orestis karnezis,Goalkeeper,34.0,19/20,udinese,napoli,1500000.0,1500000.0,0.0,0.4994,9,810.0,9,23.684210526315788,9,7,27,20,77.8,4,44.4,64.36394103892636,0,3,1,-1,1
