PlayerName,Position,Age,Season_x,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Chance_Creation_Index,Attacking_Contributions,Ball_Progression,Mistake_Rate,Midfield_Control,Defensive_Actions,Possession_Control,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success,Role_Cohort
fabian delph,Central Midfield,29.0,19/20,man city,everton,15000000,9500000.0,0.0,0.0,22,1521.1692307692308,16.90153846153846,44.58258159750697,23.91538461538461,3.830769230769231,116.81538461538462,0.0531526931336848,467.7715458926901,67.8,1214.0153846153846,42.9474064400059,1,1,3,-2,0,Central Midfield
nabil fekir,Attacking Midfield,25.0,19/20,lyon,real betis,60000000,19750000.0,0.0,0.0,29,1988.0,22.1,59.38166311300641,116.0,16.0,196.0,0.0680224403927068,58.1081081081081,100.0,1545.0,58.045388192678,0,1,3,-2,1,Attacking Midfield
nadiem amiri,Central Midfield,21.0,19/20,hoffenheim,leverkusen,17000000,10500000.0,0.0,0.0,13,754.0,8.4,23.29424307036248,30.0,4.0,72.0,0.0511727078891258,20.164473684210527,32.0,577.0,31.754038574320766,0,3,1,2,0,Central Midfield
aaron ramsey,Central Midfield,27.0,19/20,arsenal,juventus,40000000,0.0,0.0,0.0,28,1331.0,14.8,49.11158493248046,49.0,10.0,135.0,0.0637860082304526,38.57575757575758,50.0,1140.0,42.21440070095735,0,1,1,0,0,Central Midfield
adrien rabiot,Central Midfield,23.0,19/20,paris sg,juventus,35000000,0.0,0.0,0.0,14,1063.0,11.8,28.71357498223171,20.0,3.0,169.0,0.0196245733788395,51.054131054131055,54.0,1768.0,49.47112851765314,0,1,1,0,1,Central Midfield
yan eteki,Defensive Midfield,21.0,19/20,sevilla fc,granada,1000000,1000000.0,0.0,0.0,14,827.5625,9.195,25.47352523098792,10.39375,2.0125,58.15,0.0963839537896224,1108.728687978688,30.675,536.7375,29.069739246410197,1,2,4,-2,0,Defensive Midfield
flavien tait,Central Midfield,25.0,19/20,angers,rennes jugend,8000000,9000000.0,0.0,0.0,36,2985.0,33.2,81.52096659559348,157.0,12.0,343.0,0.0832507433102081,84.47653429602889,115.0,2061.0,70.06270555390883,0,4,2,2,0,Central Midfield
renato sanches,Central Midfield,20.0,19/20,bayern munich,lille,18000000,20000000.0,0.3811754385964912,0.3362,17,577.0,6.4,25.568585643212515,25.0,2.0,64.0,0.0476190476190476,18.51063829787234,16.0,582.0,29.3857124239727,0,1,2,-1,1,Central Midfield
pedro obiang,Central Midfield,26.0,19/20,west ham,sassuolo,7000000,7750000.0,0.0,0.0,24,1128.0,12.5,41.48898365316276,15.0,1.0,76.0,0.0260115606936416,26.160714285714285,80.0,857.0,38.80474159120433,0,3,3,0,1,Central Midfield
amadou diawara,Defensive Midfield,21.0,19/20,napoli,roma,15000000,21000000.0,0.0,0.0,13,661.0,7.3,21.926083866382378,15.5,0.0,43.0,0.017799352750809,33.97887323943662,29.0,959.0,33.98352800823558,0,1,1,0,0,Defensive Midfield
ander herrera,Central Midfield,28.0,19/20,man utd,paris sg,25000000,0.0,0.0,0.0,22,1403.0,15.6,42.96375266524521,34.5,5.0,114.0,0.0182572614107883,63.59375,129.0,1598.0,53.37571888030972,0,1,1,0,1,Central Midfield
ander iturraspe,Defensive Midfield,29.0,19/20,bilbao athletic,espanyol,2500000,0.0,0.0,0.0,3,98.0,1.1,2.309879175550818,0.0,0.0,5.0,0.0219780219780219,6.649746192893401,8.0,129.0,23.38262216457896,0,3,3,0,0,Defensive Midfield
manuel locatelli,Defensive Midfield,20.0,19/20,ac milan,sassuolo,12000000,14000000.0,0.0,0.0,29,1847.0,20.5,57.39161336176262,84.0,6.0,166.0,0.0449897750511247,74.3076923076923,92.0,1852.0,54.89740990634331,0,1,3,-2,1,Defensive Midfield
lukas lerager,Central Midfield,25.0,19/20,g. bordeaux,genoa,6000000,6000000.0,0.0,0.0,32,2420.0,26.9,68.92324093816632,53.5,2.0,147.0,0.0298507462686567,64.11538461538461,155.0,1619.0,56.16967717277596,0,3,4,-1,0,Central Midfield
lukas rupp,Attacking Midfield,28.0,19/20,hoffenheim,norwich,3000000,500000.0,0.0,0.0,19,1302.2931034482758,14.467241379310344,37.983420336739954,20.120689655172413,4.913793103448276,87.65517241379311,0.0561628345719431,88.04997732426304,59.53448275862069,963.9137931034484,36.86952524077424,1,3,5,-2,0,Attacking Midfield
valentin rongier,Central Midfield,23.0,19/20,nantes,marseille,15000000,13000000.0,0.0,0.0,36,3226.0,35.8,84.75479744136462,172.5,9.0,304.0,0.0429042904290429,96.65634674922602,165.0,2996.0,82.51836735476964,0,3,1,2,1,Central Midfield
douglas luiz,Central Midfield,20.0,19/20,man city,aston villa,2500000,16800000.0,0.0,0.0,23,1490.0,16.6,45.39800995024876,24.5,0.0,119.0,0.040929203539823,65.05376344086021,74.0,1194.0,41.4361554129486,0,1,3,-2,1,Central Midfield
franck kessie,Central Midfield,21.0,19/20,atalanta,ac milan,33000000,32000000.0,0.0,0.0,34,3018.0,33.5,79.5131485429993,99.0,9.0,263.0,0.0526315789473684,85.30303030303031,104.0,2656.0,67.50214899016558,0,2,1,1,1,Central Midfield
roberto soriano,Attacking Midfield,27.0,19/20,villarreal,bologna,7000000,8000000.0,0.1640350877192982,0.3943,28,1957.0,21.7,57.69367448471928,69.5,6.0,158.0,0.0659754948162111,42.82958199356913,75.0,1192.0,45.41379735516239,0,2,3,-1,1,Attacking Midfield
antonin bobichon,Central Midfield,22.0,19/20,nîmes,angers,5000000,1500000.0,0.0,0.0,30,2153.0,23.9,62.810945273631845,59.5,9.0,135.0,0.0499537465309898,66.7487684729064,64.0,1310.0,46.483317393360345,0,5,4,1,0,Central Midfield
kevin-prince boateng,Attacking Midfield,31.0,19/20,sassuolo,fiorentina,7000000,1500000.0,0.3150219394640447,0.2273,22,1512.030303030303,16.803030303030305,44.46005901229782,25.62121212121212,4.363636363636363,122.27272727272728,0.0507747749809178,125.67832107190682,64.6969696969697,1205.3030303030305,41.72078099863134,1,3,3,0,0,Attacking Midfield
khephren thuram,Central Midfield,17.0,19/20,monaco,nice,500000,0.0,0.0,0.0,12,722.9809523809524,8.037142857142857,21.65245202558636,9.495238095238095,1.6095238095238096,51.63809523809524,0.0905972588565678,2470.6153530524207,31.866666666666667,517.1047619047619,36.33974761947033,1,2,3,-1,1,Central Midfield
