Team           , Comp              , Avg_LgRank         , Avg_LgRank_Rounded, Seasons_Played, Rank
ac milan       , it Serie A        ,4.733333333,5,15,1
aj auxerre     , fr Ligue 1        ,14.25,14,4,5
ajaccio        , fr Ligue 1        ,17.75,18,4,5
alavés         , es La Liga        ,13.875,14,8,4
almería        , es La Liga        ,18.4,18,5,5
amiens         , fr Ligue 1        ,15.66666667,16,3,5
angers         , fr Ligue 1        ,13.33333333,13,9,4
arles-avignon  , fr Ligue 1        ,20,20,1,5
arminia        , de Bundesliga     ,16,16,2,5
arsenal        , eng Premier League,4.2,4,15,1
aston villa    , eng Premier League,12.58333333,13,12,3
atalanta       , it Serie A        ,7.714285714,8,14,2
atlético       , es La Liga        ,3.066666667,3,15,1
augsburg       , de Bundesliga     ,12.42857143,12,14,3
barcelona      , es La Liga        ,1.533333333,2,15,1
bari           , it Serie A        ,20,20,1,5
bastia         , fr Ligue 1        ,12.8,13,5,5
bayern munich  , de Bundesliga     ,1.333333333,1,15,1
benevento      , it Serie A        ,19,19,2,5
bilbao athletic, es La Liga        ,8.066666667,8,15,3
birmingham city, eng Premier League,18,18,1,5
blackburn      , eng Premier League,17,17,2,5
blackpool      , eng Premier League,19,19,1,5
bochum         , de Bundesliga     ,15.25,15,4,5
bologna        , it Serie A        ,12.21428571,12,14,3
bolton         , eng Premier League,16,16,2,5
bournemouth    , eng Premier League,13.125,13,8,4
brentford      , eng Premier League,12,12,4,5
brescia        , it Serie A        ,19,19,2,5
brest          , fr Ligue 1        ,13.22222222,13,9,4
brighton       , eng Premier League,12.125,12,8,3
btsv           , de Bundesliga     ,18,18,1,5
burnley        , eng Premier League,15.125,15,8,4
caen           , fr Ligue 1        ,15,15,7,5
cagliari       , it Serie A        ,14.92307692,15,13,4
cardiff city   , eng Premier League,19,19,2,5
carpi          , it Serie A        ,18,18,1,5
catania        , it Serie A        ,12.5,12,4,5
celta vigo     , es La Liga        ,11.69230769,12,13,3
cesena         , it Serie A        ,18,18,3,5
chelsea        , eng Premier League,4.466666667,4,15,1
chievo         , it Serie A        ,13.22222222,13,9,4
clermont foot  , fr Ligue 1        ,14.33333333,14,3,5
como           , it Serie A        ,10,10,1,5
cremonese      , it Serie A        ,19,19,1,5
crotone        , it Serie A        ,18,18,3,5
crystal palace , eng Premier League,12.16666667,12,12,3
cádiz          , es La Liga        ,15.25,15,4,5
córdoba        , es La Liga        ,20,20,1,5
darmstadt 98   , de Bundesliga     ,16.66666667,17,3,5
dijon          , fr Ligue 1        ,16.66666667,17,6,5
dortmund       , de Bundesliga     ,2.8,3,15,1
düsseldorf     , de Bundesliga     ,14.66666667,15,3,5
eibar          , es La Liga        ,13.85714286,14,7,5
elche          , es La Liga        ,15.8,16,5,5
empoli         , it Serie A        ,15.5,16,8,4
espanyol       , es La Liga        ,12.69230769,13,13,3
everton        , eng Premier League,10.2,10,15,3
evian          , fr Ligue 1        ,14.25,14,4,5
fc schalke 04  , de Bundesliga     ,9,9,12,3
fiorentina     , it Serie A        ,8.2,8,15,3
frankfurt      , de Bundesliga     ,9.142857143,9,14,3
freiburg       , de Bundesliga     ,9.714285714,10,14,3
frosinone      , it Serie A        ,18.66666667,19,3,5
fulham         , eng Premier League,13.22222222,13,9,4
g. bordeaux    , fr Ligue 1        ,9.416666667,9,12,3
gazélec ajaccio, fr Ligue 1        ,19,19,1,5
genoa          , it Serie A        ,13.64285714,14,14,4
getafe         , es La Liga        ,12.5,12,14,3
girona         , es La Liga        ,11.4,11,5,5
granada        , es La Liga        ,15.4,15,10,4
greuther fürth , de Bundesliga     ,18,18,2,5
guingamp       , fr Ligue 1        ,14,14,6,5
hamburger sv   , de Bundesliga     ,12.875,13,8,3
hannover 96    , de Bundesliga     ,11.375,11,8,3
heidenheim     , de Bundesliga     ,12,12,2,5
hellas verona  , it Serie A        ,13.5,14,10,4
hertha bsc     , de Bundesliga     ,12.18181818,12,11,3
hoffenheim     , de Bundesliga     ,9.733333333,10,15,3
holstein kiel  , de Bundesliga     ,17,17,1,5
huddersfield   , eng Premier League,18,18,2,5
huesca         , es La Liga        ,18.5,18,2,5
hull city      , eng Premier League,17.33333333,17,3,5
hércules       , es La Liga        ,19,19,1,5
ingolstadt 04  , de Bundesliga     ,14,14,2,5
inter          , it Serie A        ,4,4,15,1
ipswich town   , eng Premier League,19,19,1,5
juventus       , it Serie A        ,2.533333333,3,15,1
kaiserslautern , de Bundesliga     ,12.5,12,2,5
köln           , de Bundesliga     ,12.36363636,12,11,3
la coruña      , es La Liga        ,17,17,6,5
lazio          , it Serie A        ,5.666666667,6,15,2
le havre       , fr Ligue 1        ,15,15,2,5
lecce          , it Serie A        ,16.66666667,17,6,5
leeds united   , eng Premier League,15,15,3,5
leganés        , es La Liga        ,16.6,17,5,5
leicester      , eng Premier League,9.9,10,10,3
leipzig        , de Bundesliga     ,3.777777778,4,9,1
lens           , fr Ligue 1        ,10,10,7,5
levante        , es La Liga        ,13.63636364,14,11,4
leverkusen     , de Bundesliga     ,4.333333333,4,15,1
lille          , fr Ligue 1        ,5.666666667,6,15,2
liverpool      , eng Premier League,4.133333333,4,15,1
livorno        , it Serie A        ,20,20,1,5
lorient        , fr Ligue 1        ,13.81818182,14,11,4
luton town     , eng Premier League,18,18,1,5
lyon           , fr Ligue 1        ,4.466666667,4,15,1
mainz          , de Bundesliga     ,10.46666667,10,15,3
mallorca       , es La Liga        ,14,14,8,4
man city       , eng Premier League,1.8,2,15,1
man utd        , eng Premier League,4.733333333,5,15,1
marseille      , fr Ligue 1        ,4.866666667,5,15,1
metz           , fr Ligue 1        ,16.14285714,16,7,5
middlesbrough  , eng Premier League,19,19,1,5
monaco         , fr Ligue 1        ,5.538461538,6,13,2
montpellier    , fr Ligue 1        ,10.66666667,11,15,3
monza          , it Serie A        ,14.33333333,14,3,5
málaga         , es La Liga        ,10,10,8,3
mönchengladbach, de Bundesliga     ,8,8,15,3
nancy          , fr Ligue 1        ,15.25,15,4,5
nantes         , fr Ligue 1        ,12.66666667,13,12,3
napoli         , it Serie A        ,3.6,4,15,1
newcastle      , eng Premier League,10.78571429,11,14,3
nice           , fr Ligue 1        ,8.066666667,8,15,3
norwich        , eng Premier League,16.66666667,17,6,5
nott'm forest  , eng Premier League,13.33333333,13,3,5
novara         , it Serie A        ,19,19,1,5
nîmes          , fr Ligue 1        ,15.33333333,15,3,5
nürnberg       , de Bundesliga     ,12.2,12,5,5
osasuna        , es La Liga        ,11.54545455,12,11,3
paderborn 07   , de Bundesliga     ,18,18,2,5
palermo        , it Serie A        ,14.66666667,15,6,5
paris sg       , fr Ligue 1        ,1.4,1,15,1
parma          , it Serie A        ,13,13,9,4
pescara        , it Serie A        ,20,20,2,5
qpr            , eng Premier League,19,19,3,5
racing sant    , es La Liga        ,16,16,2,5
rayo vallecano , es La Liga        ,13.2,13,10,4
reading        , eng Premier League,19,19,1,5
real betis     , es La Liga        ,9.692307692,10,13,3
real madrid    , es La Liga        ,1.866666667,2,15,1
real sociedad  , es La Liga        ,8.266666667,8,15,3
real valladolid, es La Liga        ,17,17,7,5
reims          , fr Ligue 1        ,12.18181818,12,11,3
rennes jugend  , fr Ligue 1        ,7.8,8,15,2
roma           , it Serie A        ,4.8,5,15,1
saint-étienne  , fr Ligue 1        ,9.153846154,9,13,3
salernitana    , it Serie A        ,17.33333333,17,3,5
sampdoria      , it Serie A        ,12.83333333,13,12,3
sassuolo       , it Serie A        ,11.63636364,12,11,3
sevilla fc     , es La Liga        ,7.466666667,7,15,2
sheffield utd  , eng Premier League,16.33333333,16,3,5
siena          , it Serie A        ,16.5,16,2,5
sochaux        , fr Ligue 1        ,13,13,4,5
southampton    , eng Premier League,13.08333333,13,12,4
spal           , it Serie A        ,16.66666667,17,3,5
spezia         , it Serie A        ,16,16,3,5
sporting gijón , es La Liga        ,16,16,4,5
st. pauli      , de Bundesliga     ,16,16,2,5
stoke city     , eng Premier League,12.375,12,8,3
strasbourg     , fr Ligue 1        ,11.5,12,8,3
stuttgart      , de Bundesliga     ,11.53846154,12,13,3
sunderland     , eng Premier League,15.28571429,15,7,5
swansea city   , eng Premier League,12.14285714,12,7,5
torino         , it Serie A        ,10.92307692,11,13,3
tottenham      , eng Premier League,5.6,6,15,2
toulouse       , fr Ligue 1        ,13.07692308,13,13,4
troyes         , fr Ligue 1        ,18.4,18,5,5
ud las palmas  , es La Liga        ,15.8,16,5,5
udinese        , it Serie A        ,11.66666667,12,15,3
union berlin   , de Bundesliga     ,9.166666667,9,6,5
valencia       , es La Liga        ,8.2,8,15,3
valenciennes   , fr Ligue 1        ,13.5,14,4,5
venezia        , it Serie A        ,19.5,20,2,5
villarreal     , es La Liga        ,7.071428571,7,14,2
watford        , eng Premier League,15.5,16,6,5
werder bremen  , de Bundesliga     ,11.5,12,14,3
west brom      , eng Premier League,13.55555556,14,9,4
west ham       , eng Premier League,11.57142857,12,14,3
wigan athletic , eng Premier League,16.33333333,16,3,5
wolfsburg      , de Bundesliga     ,9.4,9,15,3
wolves         , eng Premier League,13,13,9,4
zaragoza       , es La Liga        ,16.33333333,16,3,5
