PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
jasper cillessen,Goalkeeper,30.0,19/20,barcelona,valencia,18000000.0,35000000.0,0.0,0.0,50.768097003553706,7.894736842105263,3,0
emil audero,Goalkeeper,22.0,19/20,juventus,sampdoria,15000000.0,20000000.0,0.2664,0.0,86.18609725816108,94.73684210526316,4,0
alex remiro,Goalkeeper,24.0,19/20,bilbao athletic,real sociedad,1500000.0,0.0,0.0,0.0,61.59753449252104,47.368421052631575,0,1
Pau López,Goalkeeper,24.0,19/20,real betis,roma,20000000.0,23500000.0,0.0,0.0,80.4548941006789,86.84210526315789,0,0
alfred gomis,Goalkeeper,25.0,19/20,spal,dijon,2000000.0,1000000.0,0.0,0.0,62.69971382064644,50.0,0,1
kevin trapp,Goalkeeper,29.0,19/20,paris sg,frankfurt,10000000.0,7000000.0,0.0,0.0,84.04290443893721,86.84210526315789,2,1
keylor navas,Goalkeeper,32.0,19/20,real madrid,paris sg,10000000.0,15000000.0,0.0,0.0,59.99925279657554,26.31578947368421,0,1
gabriel brazao,Goalkeeper,19.0,19/20,parma,inter,2000000.0,6300000.0,0.0,0.0,47.77242103823617,44.73684210526315,-4,0
tom heaton,Goalkeeper,33.0,19/20,burnley,aston villa,3000000.0,8800000.0,0.0,0.0,56.92583662047905,50.0,-2,0
oier olazabal,Goalkeeper,29.0,19/20,levante,espanyol,2000000.0,1500000.0,0.0,0.0,77.87074993434919,55.26315789473684,-1,1
tomas koubek,Goalkeeper,26.0,19/20,rennes jugend,augsburg,6000000.0,7500000.0,0.0,0.0,79.84916904015896,84.21052631578947,1,1
david ospina,Goalkeeper,30.0,19/20,arsenal,napoli,4000000.0,3500000.0,0.1989,0.3079751813551473,59.73265016177325,42.10526315789473,0,1
orestis karnezis,Goalkeeper,34.0,19/20,udinese,napoli,1500000.0,1500000.0,0.4994,0.0,64.36394103892636,23.684210526315788,-1,1
gianluigi buffon,Goalkeeper,41.0,19/20,paris sg,juventus,1000000.0,0.0,0.0,0.0,66.32262197846633,44.73684210526315,0,1
neto,Goalkeeper,30.0,19/20,valencia,barcelona,18000000.0,26000000.0,0.0,0.0,87.57375279815732,89.4736842105263,-3,1
benjamin lecomte,Goalkeeper,28.0,19/20,montpellier,monaco,17000000.0,13500000.0,0.0,0.0,85.3575824157451,97.36842105263158,-3,1
ciprian tatarusanu,Goalkeeper,33.0,19/20,nantes,lyon,2500000.0,0.0,0.0,0.0,65.35486372290303,71.05263157894737,-2,1
ionut radu,Goalkeeper,22.0,19/20,genoa,inter,15000000.0,11500000.0,0.0,0.0,76.91023010540393,86.84210526315789,-4,1
ionut radu,Goalkeeper,22.0,19/20,genoa,inter,15000000.0,11500000.0,0.3334,0.0632210526315789,76.91023010540393,86.84210526315789,-4,1
alex meret,Goalkeeper,22.0,19/20,udinese,napoli,25000000.0,26000000.0,0.2039,0.6352929824561404,69.31756778548697,34.210526315789465,-1,1
adrian,Goalkeeper,32.0,19/20,west ham,liverpool,3500000.0,0.0,0.0,0.0,61.20490784276256,55.26315789473684,-3,1
sergio rico,Goalkeeper,26.0,20/21,sevilla fc,paris sg,8000000.0,6000000.0,0.0,0.0,11.046445709512165,5.263157894736842,-1,0
claudio bravo,Goalkeeper,37.0,20/21,man city,real betis,1200000.0,0.0,0.0,0.0,39.099151939076606,9.210526315789473,2,1
runar alex runarsson,Goalkeeper,25.0,20/21,dijon,arsenal,1200000.0,2000000.0,0.0,0.0,24.488390630211697,25.0,-3,0
joe hart,Goalkeeper,33.0,20/21,burnley,tottenham,2400000.0,0.0,0.0,0.0,50.663157444683016,39.47368421052632,-3,0
ciprian tatarusanu,Goalkeeper,34.0,20/21,lyon,ac milan,1200000.0,1000000.0,0.0,0.0,66.21087313394561,5.263157894736842,1,1
gregor kobel,Goalkeeper,22.0,20/21,hoffenheim,stuttgart,4000000.0,7200000.0,0.2039,0.1476701754385964,38.75128811486937,31.57894736842105,0,1
orestis karnezis,Goalkeeper,35.0,20/21,napoli,lille,500000.0,5130000.0,0.0,0.0,64.04119710095412,39.47368421052632,1,1
antonio rosati,Goalkeeper,37.0,20/21,torino,fiorentina,100000.0,0.0,0.0,0.0,18.946394820995955,2.631578947368421,0,0
geronimo rulli,Goalkeeper,28.0,20/21,real sociedad,villarreal,8000000.0,5000000.0,0.2614,0.0,83.21707932021445,65.78947368421052,0,1
david button,Goalkeeper,31.0,20/21,brighton,west brom,1200000.0,1100000.0,0.0,0.0,50.663157444683016,39.47368421052632,2,1
anthony racioppi,Goalkeeper,21.0,20/21,lyon,dijon,450000.0,0.0,0.0,0.0,40.57668150574541,23.684210526315788,4,0
andreas luthe,Goalkeeper,33.0,20/21,augsburg,union berlin,400000.0,0.0,0.0,0.0,46.70295897117972,26.31578947368421,-1,0
alfred gomis,Goalkeeper,26.0,20/21,dijon,rennes jugend,2400000.0,10000000.0,0.0,0.0,69.34112273427704,48.68421052631579,-2,1
edouard mendy,Goalkeeper,28.0,20/21,rennes jugend,chelsea,7000000.0,24000000.0,0.0,0.0,75.4813661256392,63.1578947368421,-2,1
pepe reina,Goalkeeper,37.0,20/21,ac milan,lazio,800000.0,0.0,0.0,0.0,42.89268790988104,34.210526315789465,1,1
will norris,Goalkeeper,26.0,20/21,wolves,burnley,250000.0,266666.0,0.3636,0.0,37.75015608401934,31.57894736842105,1,0
alexander nubel,Goalkeeper,23.0,20/21,fc schalke 04,bayern munich,9500000.0,0.0,0.0,0.0,66.62559089168508,68.42105263157893,-4,0
luigi sepe,Goalkeeper,29.0,20/21,napoli,parma,6000000.0,4580000.0,0.4038,0.2855368421052632,89.10648125425273,89.4736842105263,3,1
alexander schwolow,Goalkeeper,28.0,20/21,freiburg,hertha bsc,7000000.0,7000000.0,0.0,0.0,67.1939844984226,61.8421052631579,2,1
paul bernardoni,Goalkeeper,23.0,20/21,g. bordeaux,angers,5500000.0,7500000.0,0.0,0.0,67.27973771150187,64.4736842105263,0,1
rafael,Goalkeeper,38.0,20/21,cagliari,spezia,200000.0,0.0,0.0,0.0,7.138780998360815,13.157894736842104,0,0
rafal gikiewicz,Goalkeeper,33.0,20/21,union berlin,augsburg,1200000.0,0.0,0.0,0.0,60.92232832370848,50.0,1,0
emiliano martinez,Goalkeeper,27.0,20/21,arsenal,aston villa,8000000.0,17400000.0,0.3112,0.0,64.45508654461665,22.36842105263157,1,1
wayne hennessey,Goalkeeper,34.0,21/22,crystal palace,burnley,1000000.0,0.0,0.0,0.0,49.23669376487071,44.73684210526315,2,0
angus gunn,Goalkeeper,25.0,21/22,southampton,norwich,3000000.0,5850000.0,0.0,0.0,65.5858875001957,42.10526315789473,0,1
tom heaton,Goalkeeper,35.0,21/22,aston villa,man utd,1000000.0,0.0,0.0,0.0,49.86444040889657,57.89473684210527,-1,0
marco silvestri,Goalkeeper,30.0,21/22,hellas verona,udinese,9000000.0,2200000.0,0.0,0.0,73.3836878731379,89.4736842105263,-1,0
florian muller,Goalkeeper,23.0,21/22,mainz,stuttgart,8000000.0,5000000.0,0.0,0.0,80.25917327065667,81.57894736842105,-1,0
frederik ronnow,Goalkeeper,29.0,21/22,frankfurt,union berlin,2500000.0,1000000.0,0.0,0.0,54.27651218648791,36.84210526315789,0,1
juan musso,Goalkeeper,27.0,21/22,udinese,atalanta,20000000.0,20500000.0,0.0,0.0,82.04280514964938,92.10526315789474,0,1
mathew ryan,Goalkeeper,29.0,21/22,brighton,real sociedad,6000000.0,0.0,0.1847,0.1693421052631578,42.5059785040146,36.84210526315789,0,1
gianluigi donnarumma,Goalkeeper,22.0,21/22,ac milan,paris sg,60000000.0,0.0,0.0,0.0,86.60566716653895,97.36842105263158,-1,1
daniele padelli,Goalkeeper,35.0,21/22,inter,udinese,400000.0,0.0,0.0,0.0,48.84715969393558,0.0,2,0
boris radunovic,Goalkeeper,25.0,21/22,atalanta,cagliari,300000.0,625000.0,0.4131,0.0991368421052631,52.50775876422492,44.73684210526315,2,0
rui silva,Goalkeeper,27.0,21/22,granada,real betis,12000000.0,0.0,0.0,0.0,74.92675834490336,84.21052631578947,-2,1
rui patricio,Goalkeeper,33.0,21/22,wolves,roma,10000000.0,11800000.0,0.0,0.0,83.38975142579137,97.36842105263158,-1,1
jens grahl,Goalkeeper,32.0,21/22,stuttgart,frankfurt,200000.0,250000.0,0.0,0.0,53.45597701210381,50.0,0,0
gregor kobel,Goalkeeper,23.0,21/22,stuttgart,dortmund,13000000.0,15000000.0,0.0,0.0,75.00344630765322,86.84210526315789,-1,1
mike maignan,Goalkeeper,26.0,21/22,lille,ac milan,25000000.0,16399999.0,0.0,0.0,100.0,100.0,-1,1
salvatore sirigu,Goalkeeper,34.0,21/22,torino,genoa,2500000.0,0.0,0.0,0.0,69.42241431709459,84.21052631578947,2,1
alban lafont,Goalkeeper,22.0,21/22,fiorentina,nantes,10000000.0,7500000.0,0.1477,0.0,78.76773629230645,100.0,0,1
yann sommer,Goalkeeper,33.0,22/23,mönchengladbach,bayern munich,5000000.0,9000000.0,0.0,0.0,82.82232181567161,86.84210526315789,-2,1
ivan provedel,Goalkeeper,28.0,22/23,spezia,lazio,3500000.0,2550000.0,0.0,0.0,86.52585982865669,81.57894736842105,-2,1
michele di gregorio,Goalkeeper,25.0,22/23,inter,monza,3800000.0,6000000.0,0.4644,0.0,71.61572657474522,65.78947368421052,4,1
salvatore sirigu,Goalkeeper,35.0,22/23,napoli,fiorentina,800000.0,0.0,0.0,0.0,93.0322466560097,97.36842105263158,1,1
sergio asenjo,Goalkeeper,33.0,22/23,villarreal,real valladolid,4000000.0,0.0,0.0,0.0,22.109862109947045,15.789473684210526,2,1
brice samba,Goalkeeper,28.0,22/23,nott'm forest,lens,2500000.0,5000000.0,0.0,0.0,71.50134997210468,63.1578947368421,0,1
neto,Goalkeeper,33.0,22/23,barcelona,bournemouth,3000000.0,0.0,0.0,0.0,17.70476687270734,7.894736842105263,3,1
joel robles,Goalkeeper,32.0,22/23,real betis,leeds united,1500000.0,0.0,0.0,0.0,55.08277219043655,50.0,1,1
benoit costil,Goalkeeper,35.0,22/23,aj auxerre,lille,1500000.0,0.0,0.0,0.0,48.374740240738745,65.78947368421052,-2,1
bernd leno,Goalkeeper,30.0,22/23,arsenal,fulham,9000000.0,3600000.0,0.0,0.0,32.63520589944734,10.526315789473683,2,1
jonas omlin,Goalkeeper,28.0,22/23,montpellier,mönchengladbach,7000000.0,9000000.0,0.0,0.0,89.72303120980543,76.3157894736842,-2,1
benjamin lecomte,Goalkeeper,31.0,22/23,monaco,montpellier,4000000.0,2000000.0,0.0,0.0,66.88214496924454,65.78947368421052,3,1
robin olsen,Goalkeeper,32.0,22/23,roma,aston villa,2000000.0,3500000.0,0.5324,0.0,0.0,2.631578947368421,0,1
bartlomiej dragowski,Goalkeeper,25.0,22/23,fiorentina,spezia,6000000.0,2450000.0,0.3283,0.4360449122807017,71.61572657474522,65.78947368421052,2,0
darren randolph,Goalkeeper,35.0,22/23,west ham,bournemouth,500000.0,0.0,0.0,0.0,77.04282553300288,47.368421052631575,0,0
thomas strakosha,Goalkeeper,27.0,22/23,lazio,brentford,7000000.0,0.0,0.0,0.0,65.53549038942214,60.526315789473685,1,0
fraser forster,Goalkeeper,34.0,22/23,southampton,tottenham,2000000.0,0.0,0.4988,0.1132421052631578,57.206863463953326,50.0,-3,0
diego lopez,Goalkeeper,40.0,22/23,espanyol,rayo vallecano,500000.0,0.0,0.0,0.0,84.63010260873935,93.42105263157892,0,0
kasper schmeichel,Goalkeeper,35.0,22/23,leicester,nice,4000000.0,1000000.0,0.0,0.0,89.5849850482373,97.36842105263158,-1,1
marcel lotka,Goalkeeper,21.0,22/23,hertha bsc,dortmund,1300000.0,0.0,0.0,0.0,45.59683246431611,25.0,-3,0
marcin bulka,Goalkeeper,23.0,22/23,paris sg,nice,2000000.0,2000000.0,0.0,0.0,58.91751954186531,44.73684210526315,2,1
kiko casilla,Goalkeeper,35.0,22/23,leeds united,getafe,700000.0,0.0,0.5556,0.0674035087719298,51.377018012111655,36.84210526315789,0,0
pau lopez,Goalkeeper,27.0,22/23,roma,marseille,12000000.0,12000000.0,0.3135,0.1050719298245614,69.7548496262014,76.3157894736842,-1,0
federico brancolini,Goalkeeper,21.0,22/23,fiorentina,lecce,200000.0,0.0,0.0,0.0,31.91263726779756,18.421052631578945,2,0
alphonse areola,Goalkeeper,29.0,22/23,paris sg,west ham,8000000.0,9300000.0,0.0,0.0,12.017419223409128,2.631578947368421,3,1
pepe reina,Goalkeeper,39.0,22/23,lazio,villarreal,700000.0,0.0,0.0,0.0,37.81708894795358,39.47368421052632,0,0
yann sommer,Goalkeeper,34.0,23/24,bayern munich,inter,5000000.0,6900000.0,0.0,0.0,75.24577609723369,76.3157894736842,0,1
alex dominguez,Goalkeeper,25.0,23/24,ud las palmas,toulouse,300000.0,1100000.0,0.0,0.0,71.80317251620072,50.0,0,0
andre onana,Goalkeeper,27.0,23/24,inter,man utd,35000000.0,50200000.0,0.0,0.0,70.06325819027239,63.1578947368421,1,0
marco sportiello,Goalkeeper,31.0,23/24,atalanta,ac milan,1500000.0,0.0,0.0,0.0,44.93959607942011,38.1578947368421,-1,1
mark flekken,Goalkeeper,30.0,23/24,freiburg,brentford,10000000.0,13000000.0,0.0,0.0,95.74496660586924,89.4736842105263,1,1
matej kovar,Goalkeeper,23.0,23/24,man utd,leverkusen,1800000.0,5000000.0,0.0,0.0,50.184232736909166,36.84210526315789,1,1
ruben blanco,Goalkeeper,28.0,23/24,celta vigo,marseille,4000000.0,1500000.0,0.3135,0.0,17.857035560146834,15.789473684210526,-2,0
dean henderson,Goalkeeper,26.0,23/24,man utd,crystal palace,18000000.0,17500000.0,0.0,0.0,67.09274249388884,47.368421052631575,1,1
matt turner,Goalkeeper,29.0,23/24,arsenal,nott'm forest,8000000.0,8150000.0,0.0,0.0,64.31406946279323,60.526315789473685,2,1
josep martinez,Goalkeeper,25.0,23/24,leipzig,genoa,3500000.0,3500000.0,0.0,0.0,83.8371222064476,60.526315789473685,3,1
robert sanchez,Goalkeeper,25.0,23/24,brighton,chelsea,22000000.0,23000000.0,0.0,0.0,57.36223926466007,60.526315789473685,-2,1
