Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
1,Miguel Ángel Moyá,66.7,18-19,34,es ESP,Real Sociedad,es La Liga,11,990,11.0,11,0,22,11,33,22,66.7,3.0,2.0,6,2.0,18.2,GK
2,Wojciech Szczęsny,76.5,18-19,28,pl POL,Juventus,it Serie A,28,2520,28.0,28,0,10,20,81,61,76.5,22.0,5.0,1,11.0,39.3,GK
3,Emiliano Viviano,75.0,18-19,32,it ITA,SPAL,it Serie A,17,1524,16.9,17,0,2,25,84,59,75.0,7.0,3.0,7,3.0,17.6,GK
4,Stefano Sorrentino,65.3,18-19,39,it ITA,Chievo,it Serie A,31,2789,31.0,31,0,0,60,167,107,65.3,1.0,11.0,19,5.0,16.1,GK
5,Jasper Cillessen,78.6,18-19,29,nl NED,Barcelona,es La Liga,3,270,3.0,3,0,27,4,14,10,78.6,1.0,1.0,1,1.0,33.3,GK
6,Bartłomiej Drągowski,77.9,18-19,20,pl POL,2 Teams,it Serie A,17,1485,16.5,16,1,18,26,104,77,77.9,5.0,3.0,8,4.0,25.0,GK
7,Gianluigi Donnarumma,77.8,18-19,19,it ITA,Milan,it Serie A,36,3090,34.3,36,0,0,31,126,95,77.8,18.0,11.0,7,11.0,30.6,GK
8,Jiří Pavlenka,71.2,18-19,26,cz CZE,Werder Bremen,de Bundesliga,34,2977,33.1,34,0,0,47,153,106,71.2,14.0,11.0,9,5.0,14.7,GK
9,Francesco Bardi,58.3,18-19,26,it ITA,Frosinone,it Serie A,3,270,3.0,3,0,26,5,12,7,58.3,0.0,1.0,2,1.0,33.3,GK
10,Alexander Schwolow,68.8,18-19,26,de GER,Freiburg,de Bundesliga,33,2970,33.0,33,0,1,60,170,110,68.8,7.0,12.0,14,5.0,15.2,GK
11,Marcus Bettinelli,52.5,18-19,26,eng ENG,Fulham,eng Premier League,7,630,7.0,7,0,15,20,40,19,52.5,1.0,2.0,4,0.0,0.0,GK
12,Maxime Dupé,55.9,18-19,25,fr FRA,Nantes,fr Ligue 1,11,940,10.4,10,1,25,17,34,16,55.9,5.0,3.0,2,1.0,10.0,GK
13,Salvatore Sirigu,75.7,18-19,31,it ITA,Torino,it Serie A,36,3169,35.2,36,0,0,35,136,99,75.7,15.0,14.0,7,14.0,38.9,GK
14,Aleksandar Jovanović,63.0,18-19,25,rs SRB,Huesca,es La Liga,12,1080,12.0,12,0,20,19,46,28,63.0,1.0,4.0,7,0.0,0.0,GK
15,Mauro Goicoechea,68.6,18-19,30,uy URU,Toulouse,fr Ligue 1,8,713,7.9,7,1,26,12,35,23,68.6,2.0,3.0,2,3.0,42.9,GK
16,Javier Díaz,100.0,18-19,21,es ESP,Sevilla,es La Liga,1,90,1.0,1,0,3,1,2,1,100.0,0.0,0.0,1,0.0,0.0,GK
17,Alberto García,60.9,18-19,33,es ESP,Rayo Vallecano,es La Liga,17,1530,17.0,17,0,21,35,87,50,60.9,3.0,4.0,10,4.0,23.5,GK
18,Thibaut Courtois,71.2,18-19,26,be BEL,Real Madrid,es La Liga,27,2430,27.0,27,0,5,36,104,67,71.2,14.0,3.0,10,8.0,29.6,GK
19,Michel Vorm,69.2,18-19,34,nl NED,Tottenham,eng Premier League,2,180,2.0,2,0,4,4,13,9,69.2,0.0,0.0,2,0.0,0.0,GK
20,Steve Mandanda,69.9,18-19,33,fr FRA,Marseille,fr Ligue 1,31,2735,30.4,31,0,1,40,113,72,69.9,14.0,5.0,12,9.0,29.0,GK
21,Ralf Fährmann,71.1,18-19,29,de GER,Schalke 04,de Bundesliga,17,1470,16.3,16,1,9,26,83,58,71.1,4.0,3.0,9,3.0,18.8,GK
22,Luca Plogmann,100.0,18-19,18,de GER,Werder Bremen,de Bundesliga,1,38,0.4,0,1,16,1,1,0,100.0,0.0,0.0,0,0.0,,GK
23,Pau López,67.2,18-19,23,es ESP,Betis,es La Liga,33,2970,33.0,33,0,5,47,134,86,67.2,12.0,7.0,14,10.0,30.3,GK
24,Benoît Costil,76.3,18-19,31,fr FRA,Bordeaux,fr Ligue 1,37,3330,37.0,37,0,1,42,152,109,76.3,9.0,11.0,17,9.0,24.3,GK
25,Zacharie Boucher,75.0,18-19,26,fr FRA,Angers,fr Ligue 1,2,180,2.0,2,0,30,1,4,3,75.0,1.0,1.0,0,1.0,50.0,GK
26,Bernd Leno,75.9,18-19,26,de GER,Arsenal,eng Premier League,32,2836,31.5,31,1,6,42,145,104,75.9,16.0,7.0,8,7.0,22.6,GK
27,Abdoulaye Diallo,85.0,18-19,26,sn SEN,Rennes,fr Ligue 1,6,495,5.5,6,0,16,4,20,16,85.0,3.0,2.0,1,2.0,33.3,GK
28,Neil Etheridge,68.6,18-19,28,ph PHI,Cardiff City,eng Premier League,38,3420,38.0,38,0,0,69,207,135,68.6,10.0,4.0,24,10.0,26.3,GK
29,Ludovic Butelle,72.0,18-19,35,fr FRA,Angers,fr Ligue 1,36,3239,36.0,36,0,0,48,161,113,72.0,9.0,15.0,12,11.0,30.6,GK
30,Gorka Iraizoz,79.5,18-19,37,es ESP,Girona,es La Liga,7,559,6.2,6,1,27,10,39,30,79.5,1.0,0.0,5,1.0,16.7,GK
31,Ivan Provedel,68.3,18-19,24,it ITA,Empoli,it Serie A,16,1440,16.0,16,0,22,36,104,69,68.3,4.0,4.0,8,0.0,0.0,GK
32,Rune Jarstein,67.8,18-19,33,no NOR,Hertha BSC,de Bundesliga,31,2745,30.5,31,0,0,48,143,96,67.8,9.0,10.0,12,8.0,25.8,GK
33,Jessy Moulin,80.0,18-19,32,fr FRA,Saint-Étienne,fr Ligue 1,1,90,1.0,1,0,37,1,5,5,80.0,0.0,1.0,0,0.0,0.0,GK
34,Kepa Arrizabalaga,68.6,18-19,23,es ESP,Chelsea,eng Premier League,36,3240,36.0,36,0,2,39,121,81,68.6,20.0,8.0,8,14.0,38.9,GK
35,Paul Bernardoni,70.0,18-19,21,fr FRA,Nîmes,fr Ligue 1,38,3420,38.0,38,0,0,58,180,122,70.0,15.0,8.0,15,10.0,26.3,GK
36,Marwin Hitz,33.3,18-19,30,ch SUI,Dortmund,de Bundesliga,2,180,2.0,2,0,31,4,6,2,33.3,2.0,0.0,0,0.0,0.0,GK
37,Alphonse Areola,80.3,18-19,25,fr FRA,Paris S-G,fr Ligue 1,21,1890,21.0,21,0,13,17,66,50,80.3,16.0,3.0,2,11.0,52.4,GK
38,Benjamin Lecomte,72.7,18-19,27,fr FRA,Montpellier,fr Ligue 1,37,3330,37.0,37,0,0,42,143,102,72.7,15.0,13.0,9,11.0,29.7,GK
39,Antonio Mirante,84.2,18-19,35,it ITA,Roma,it Serie A,11,990,11.0,11,0,24,6,38,31,84.2,6.0,4.0,1,6.0,54.5,GK
40,Andriy Lunin,78.9,18-19,19,ua UKR,Leganés,es La Liga,5,365,4.1,4,1,25,5,19,13,78.9,1.0,0.0,3,2.0,50.0,GK
41,Andrés Fernández,73.9,18-19,31,es ESP,Villarreal,es La Liga,6,540,6.0,6,0,32,7,23,16,73.9,3.0,2.0,1,2.0,33.3,GK
42,Edouard Mendy,76.7,18-19,26,sn SEN,Reims,fr Ligue 1,38,3420,38.0,38,0,0,42,150,110,76.7,13.0,16.0,9,14.0,36.8,GK
43,Thomas Strakosha,74.2,18-19,23,al ALB,Lazio,it Serie A,35,3150,35.0,35,0,0,39,132,95,74.2,16.0,7.0,12,10.0,28.6,GK
44,Luigi Sepe,74.1,18-19,27,it ITA,Parma,it Serie A,37,3330,37.0,37,0,1,59,197,142,74.1,10.0,11.0,16,10.0,27.0,GK
45,Artur Boruc,73.2,18-19,38,pl POL,Bournemouth,eng Premier League,12,1080,12.0,12,0,26,18,56,38,73.2,4.0,3.0,5,4.0,33.3,GK
46,Alex McCarthy,64.7,18-19,28,eng ENG,Southampton,eng Premier League,25,2250,25.0,25,0,8,44,119,78,64.7,5.0,8.0,12,4.0,16.0,GK
47,Dimitry Bertaud,100.0,18-19,20,cd COD,Montpellier,fr Ligue 1,1,90,1.0,1,0,30,0,1,1,100.0,0.0,1.0,0,1.0,100.0,GK
48,Martin Dúbravka,70.0,18-19,29,sk SVK,Newcastle Utd,eng Premier League,38,3420,38.0,38,0,0,48,140,93,70.0,12.0,9.0,17,11.0,28.9,GK
49,Ederson,76.5,18-19,24,br BRA,Manchester City,eng Premier League,38,3420,38.0,38,0,0,23,81,58,76.5,32.0,2.0,4,20.0,52.6,GK
50,Simone Scuffet,68.4,18-19,22,it ITA,Udinese,it Serie A,9,810,9.0,9,0,10,13,38,25,68.4,2.0,2.0,5,2.0,22.2,GK
51,Yann Sommer,75.0,18-19,29,ch SUI,Gladbach,de Bundesliga,34,3060,34.0,34,0,0,42,156,114,75.0,16.0,7.0,11,13.0,38.2,GK
52,Mathew Ryan,69.1,18-19,26,au AUS,Brighton,eng Premier League,34,3060,34.0,34,0,0,55,152,96,69.1,8.0,8.0,18,6.0,17.6,GK
53,Oliver Baumann,72.9,18-19,28,de GER,Hoffenheim,de Bundesliga,33,2970,33.0,33,0,0,51,166,116,72.9,12.0,12.0,9,5.0,15.2,GK
54,Jordan Pickford,67.6,18-19,24,eng ENG,Everton,eng Premier League,38,3420,38.0,38,0,0,46,136,89,67.6,15.0,9.0,14,14.0,36.8,GK
55,Christian Mathenia,67.8,18-19,26,de GER,Nürnberg,de Bundesliga,22,1932,21.5,22,0,7,40,118,80,67.8,1.0,7.0,14,2.0,9.1,GK
56,Mattia Perin,74.1,18-19,25,it ITA,Juventus,it Serie A,9,810,9.0,9,0,21,8,27,19,74.1,6.0,1.0,2,5.0,55.6,GK
57,Mathieu Gorgelin,66.7,18-19,27,fr FRA,Lyon,fr Ligue 1,4,360,4.0,4,0,33,5,15,10,66.7,3.0,0.0,1,1.0,25.0,GK
58,Alban Lafont,72.7,18-19,19,ci CIV,Fiorentina,it Serie A,34,3015,33.5,34,0,3,40,128,90,72.7,8.0,15.0,11,8.0,23.5,GK
59,Salvador Ichazo,88.9,18-19,26,uy URU,Torino,it Serie A,3,251,2.8,2,1,35,2,9,7,88.9,1.0,1.0,0,1.0,50.0,GK
60,Kasper Schmeichel,68.8,18-19,31,dk DEN,Leicester City,eng Premier League,38,3420,38.0,38,0,0,48,138,90,68.8,15.0,7.0,16,10.0,26.3,GK
61,Juan Soriano,90.9,18-19,20,es ESP,Sevilla,es La Liga,4,359,4.0,4,0,32,2,11,9,90.9,4.0,0.0,0,2.0,50.0,GK
62,Asier Riesgo,56.5,18-19,34,es ESP,Eibar,es La Liga,14,1260,14.0,14,0,21,20,46,27,56.5,2.0,8.0,4,4.0,28.6,GK
63,Robin Zentner,71.4,18-19,23,de GER,Mainz 05,de Bundesliga,10,900,10.0,10,0,24,14,49,35,71.4,4.0,4.0,2,2.0,20.0,GK
64,Unai Simón,66.7,18-19,21,es ESP,Athletic Club,es La Liga,7,630,7.0,7,0,31,13,33,20,66.7,1.0,4.0,2,0.0,0.0,GK
65,Marc-Aurèle Caillard,64.5,18-19,24,fr FRA,Guingamp,fr Ligue 1,21,1890,21.0,21,0,13,34,93,58,64.5,4.0,7.0,10,6.0,28.6,GK
