PlayerName,Position
Abdel Abqar                   , Centre-Back       
Francis Abu                   , Attacking Midfield
Giorgi Abuashvili             , Left Winger       
Francesco Acerbi              , Centre-Back       
Ragnar Ache                   , Centre-Forward    
Joshua Acheampong             , Centre-Back       
Akor Adams                    , Centre-Forward    
Che Adams                     , Centre-Forward    
Tyler Adams                   , Defensive Midfield
Junior Adamu                  , Centre-Forward    
Tosin Adarabioyo              , Centre-Back       
Jayden Addai                  , Right Winger      
Karim Adeyemi                 , Right Winger      
Simon Adingra                 , Left Winger       
Amine Adli                    , Left Winger       
Vasilije Adžić                , Attacking Midfield
Michel Aebischer              , Central Midfield  
David Affengruber             , Centre-Back       
Oladapo Afolayan              , Right Winger      
Emmanuel Agbadou              , Centre-Back       
Julen Agirrezabala            , Goalkeeper        
Lucien Agoume                 , Defensive Midfield
Felix Agu                     , Left-Back         
Marc Aguado                   , Defensive Midfield
Nayef Aguerd                  , Centre-Back       
Ruben Aguilar                 , Right-Back        
Honest Ahanor                 , Left-Back         
Lucas Ahijado                 , Right-Back        
Ola Aina                      , Right-Back        
Abdelhamid Ait Boudlal        , Centre-Back       
Rayan Aït-Nouri               , Left-Back         
Tosin Aiyegun                 , Centre-Forward    
Junior Ajayi                  , Left Winger       
Kristoffer Ajer               , Centre-Back       
Ludovic Ajorque               , Centre-Forward    
Manuel Akanji                 , Centre-Back       
Nathan Aké                    , Centre-Back       
Ilias Akhomach                , Right Winger      
Ebenezer Akinsanmiro          , Central Midfield  
Maghnes Akliouche             , Right Winger      
Clément Akpa                  , Centre-Back       
Jean-Daniel Akpa-Akpro        ,                   
Kevin Akpoguma                , Centre-Back       
David Alaba                   , Centre-Back       
Raúl Albiol                   , Centre-Back       
Carlos Alcaraz                , Central Midfield  
Omar Alderete                 , Centre-Back       
Alexandre Alemão              , Attacking Midfield
Carles Aleñá                  , Central Midfield  
Trent Alexander-Arnold        , Right-Back        
Brenden Aaronson              , Attacking Midfield
Jones El-Abdellaoui           , Right Winger      
Himad Abdelli                 , Attacking Midfield
Ali Abdi                      , Left-Back         
Salis Abdul Samed             , Defensive Midfield
Alfon                         , Left-Back         
Mohamed Ali Cho               , Right Winger      
Alisson                       , Goalkeeper        
Jim Allevinah                 , Right Winger      
Thiago Almada                 , Left Winger       
Domingos André Ribeiro Almeida, Attacking Midfield
Pontus Almqvist               , Right Winger      
Marcos Alonso                 , Centre-Back       
Adrià Altimira                , Right-Back        
Sergi Altimira                , Central Midfield  
Carlos Álvarez                , Right Winger      
Hugo Álvarez                  , Left Winger       
Julián Álvarez                , Centre-Forward    
Skelly Alvero                 , Defensive Midfield
Giuseppe Ambrosino            , Centre-Forward    
Aurele Amenda                 , Centre-Back       
Kelvin Amian                  , Right-Back        
Mohamed Amine Sbai            ,                   
Michael Amir Murillo          , Right-Back        
Nadiem Amiri                  , Central Midfield  
Samuel Amo-Ameyaw             , Right Winger      
Mathis Amougou                , Central Midfield  
Mohamed Amoura                , Centre-Forward    
Ethan Ampadu                  , Defensive Midfield
Sofyan Amrabat                , Defensive Midfield
Joachim Andersen              , Centre-Back       
Elliot Anderson               , Central Midfield  
André                         , Central Midfield  
Benjamin André                , Defensive Midfield
Robert Andrich                , Defensive Midfield
Miguel Ángel Rubio            , Centre-Back       
Angeliño                      , Left-Back         
Samuele Angori                , Left Midfield     
Faustino Anjorin              , Attacking Midfield
Ilyas Ansah                   , Centre-Forward    
Aaron Anselmino               , Centre-Back       
Jaidon Anthony                , Left Winger       
Waldemar Anton                , Centre-Back       
Antoniu                       , Centre-Forward    
Antony                        , Right Winger      
Youssef El-Arabi              ,                   
Mauro Arambarri               , Central Midfield  
Jon Aramburu                  , Right-Back        
Ronald Araújo                 , Centre-Back       
Carlens Arcus                 , Right-Back        
Alphonse Areola               , Goalkeeper        
Jesús Areso                   , Right-Back        
Jhon Arias                    , Right Winger      
Harrison Armstrong            , Central Midfield  
Hákon Arnar Haraldsson        , Attacking Midfield
Maximilian Arnold             , Central Midfield  
Tolu Arokodare                , Centre-Forward    
Kervin Arriaga                , Defensive Midfield
Arthur                        , Defensive Midfield
Takuma Asano                  , Right Winger      
Raúl Asencio                  , Centre-Back       
Fisnik Asllani                , Centre-Forward    
Kristjan Asllani              , Defensive Midfield
Joel Asoro                    , Right Winger      
Iago Aspas                    , Centre-Forward    
Yann Aurel Bisseck            , Centre-Back       
Leon Avdullahu                , Defensive Midfield
Ezequiel Ávila                , Centre-Forward    
Arthur Avom                   , Central Midfield  
Chidozie Awaziem              , Centre-Back       
Taiwo Awoniyi                 , Centre-Forward    
Yasin Ayari                   , Central Midfield  
Neil El Aynaoui               , Central Midfield  
César Azpilicueta             , Centre-Back       
Oussama El Azzouzi            , Defensive Midfield
Mio Backhaus                  , Goalkeeper        
Loïc Bade                     , Centre-Back       
Benoît Badiashile             , Centre-Back       
Alex Baena                    , Left Winger       
Samson Baidoo                 , Centre-Back       
Leon Bailey                   , Right Winger      
Eric Bailly                   , Centre-Back       
Theo Bair                     , Centre-Forward    
Cédric Bakambu                , Centre-Forward    
Johan Bakayoko                , Right Winger      
Yaser Asprilla                , Right Winger      
Fodé Ballo-Touré              , Left-Back         
Folarin Balogun               , Centre-Forward    
Aladji Bamba                  , Defensive Midfield
Mohamed Bamba                 , Centre-Forward    
Lameck Banda                  , Left Winger       
Noahkai Banks                 , Centre-Back       
Ezechiel Banzuzi              , Central Midfield  
Tommaso Barbieri              , Right-Back        
Valentín Barco                , Central Midfield  
Bradley Barcola               , Left Winger       
Melvin Bard                   , Left-Back         
Roony Bardghji                , Right Winger      
Nicolò Barella                , Central Midfield  
Kike Barja                    , Right Winger      
Ross Barkley                  , Central Midfield  
Ashley Barnes                 , Centre-Forward    
Harvey Barnes                 , Left Winger       
Ander Barrenetxea             , Left Winger       
Pablo Barrios                 , Central Midfield  
Thierno Barry                 , Centre-Forward    
Davide Bartesaghi             , Left-Back         
Marc Bartra                   , Centre-Back       
Federico Baschirotto          , Centre-Back       
Toma Bašić                    , Central Midfield  
Calvin Bassey                 , Centre-Back       
Alessandro Bastoni            , Centre-Back       
Augusto Batalla               , Goalkeeper        
Michy Batshuayi               , Centre-Forward    
Martin Baturina               , Attacking Midfield
Oliver Baumann                , Goalkeeper        
Christoph Baumgartner         , Attacking Midfield
Altay Bayındır                , Goalkeeper        
Vakoun Bayo                   , Centre-Forward    
Ihlas Bebou                   , Centre-Forward    
Samu Becerra                  , Central Midfield  
Adrian Beck                   , Attacking Midfield
Sheraldo Becker               , Left Winger       
Donny van de Beek             , Central Midfield  
Maximilian Beier              , Centre-Forward    
Ismael Bekhoucha              , Right-Back        
Darryl Bakola                 , Attacking Midfield
Ridle Baku                    , Right-Back        
Dilane Bakwa                  , Right Winger      
Tommaso Baldanzi              , Attacking Midfield
Alejandro Balde               , Left-Back         
Fabio Baldé                   , Left Winger       
Carlos Baleba                 , Defensive Midfield
Leonardo Balerdi              , Centre-Back       
Daniel Ballard                , Centre-Back       
Reda Belahyane                , Defensive Midfield
Rafik Belghali                , Right-Back        
Haris Belkebla                , Central Midfield  
Yassin Belkhdim               , Central Midfield  
Stefan Bell                   , Centre-Back       
Armel Bella Kotchap           , Centre-Back       
Raoul Bellanova               , Right Midfield    
Jean-Ricner Bellegarde        , Central Midfield  
