Role_Cohort,Model,N_runs,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_mean,AUC_std
Attacking Midfield,Gradient Boosting,100,0.8289285714285712,0.08380233667776252,0.7852390387390387,0.14120466388379224,0.7451330891330892,0.15027724191194483,0.8690335133792813,0.0875613791116849
Attacking Midfield,Random Forest,100,0.8092857142857143,0.0843976254622929,0.776579765822413,0.135142069083222,0.7218539516039516,0.1484532927057182,0.8589223458445457,0.09052961217164353
Attacking Midfield,AdaBoost,100,0.7967857142857142,0.07137408636250017,0.8179580142080143,0.14297300913136668,0.5957756965256965,0.15900075655123658,0.8016342112395505,0.09373801458623311
Attacking Midfield,SVM (RBF),100,0.73,0.09165708051298199,0.6716002739090976,0.1793912425660968,0.5898151015651016,0.18459338958528532,0.7456096315044237,0.1356893635510388
Attacking Midfield,Logistic Regression,100,0.6350000000000001,0.09266188261521519,0.5314190090954797,0.12979345971876372,0.5556143301143301,0.1472023361932592,0.6750375320291289,0.1004903296290467
Attacking Midfield,Logistic (L1),100,0.6128571428571429,0.09552753636560317,0.49004124837674107,0.11773750547772219,0.5578989898989899,0.16468560171893967,0.6587028020139475,0.10795445140393707
Attacking Midfield,SVM (Linear),100,0.6278571428571429,0.09465026925153333,0.4968479935303026,0.1472653348974678,0.534270424020424,0.20720682152304096,0.6342573091959148,0.1506570884768588
Attacking Midfield,Neural Net (Medium),100,0.5857142857142857,0.13702375780893483,0.49340780991740746,0.1799964106655932,0.5423276723276724,0.20816152700683765,0.6015555196376183,0.140217586305955
Attacking Midfield,Neural Net (Small),100,0.36107142857142854,0.04282588145559854,0.3611894586894586,0.042716725862627626,0.9950595238095238,0.031900041850568585,0.5076312487714385,0.11660782775527319
Central Midfield,Gradient Boosting,100,0.7831481481481483,0.05769313600756012,0.7369005519439957,0.09149223577598928,0.7188109126571369,0.11046874445105671,0.8518129367250812,0.05707271766999901
Central Midfield,Random Forest,100,0.7700000000000001,0.05967332192692342,0.7152350430971761,0.09060853056588475,0.7130013007460374,0.130760509349055,0.8337881346955642,0.06311764832451276
Central Midfield,AdaBoost,100,0.6705555555555557,0.06341315091675127,0.5936866740897675,0.10406900991171454,0.5380744051778376,0.16892135283521653,0.7242748168350449,0.07329171262637846
Central Midfield,SVM (RBF),100,0.6594444444444446,0.06230016062352826,0.5584682472819797,0.0700758183339637,0.6907744727819705,0.10854072607654085,0.7176480208052055,0.0867068479126561
Central Midfield,Logistic (L1),100,0.6077777777777779,0.061774180550745066,0.5191337188616403,0.0726577397227273,0.5522675652294843,0.11807153527633697,0.6494217581064068,0.07072211397274782
Central Midfield,Logistic Regression,100,0.6194444444444445,0.058348028719215364,0.5266038048499279,0.08072693856738702,0.5551316099456697,0.10894686581909009,0.6493923791332392,0.07067190017099141
Central Midfield,Neural Net (Medium),100,0.6168518518518519,0.08485018670464695,0.5439335385311267,0.16101956077033241,0.46481994510253366,0.220450057746213,0.6297156117567674,0.10571069528037905
Central Midfield,SVM (Linear),100,0.6027777777777777,0.06970322155144772,0.5137625788751883,0.09387173916462373,0.5240974582005543,0.12273079549063862,0.6206876756403468,0.09376898264198981
Central Midfield,Neural Net (Small),100,0.40222222222222215,0.03572490533862961,0.39893247606412346,0.03322537872852985,0.9900548406589595,0.029017939621759487,0.40322337990156554,0.07155033052910817
Defensive Midfield,Gradient Boosting,100,0.82625,0.07020060541049486,0.8314343419233882,0.07566266672165546,0.8506299444879164,0.09976869009045315,0.8890076373064715,0.06288679665192605
Defensive Midfield,Random Forest,100,0.784375,0.07849910429425294,0.8006134488972387,0.09260805359213445,0.8165036672563764,0.1004065385871353,0.8509900144816698,0.07474029922371503
Defensive Midfield,AdaBoost,100,0.784375,0.07201074138626819,0.8068773508808236,0.08929602629581992,0.8056689456484348,0.1169536375825758,0.837855357008886,0.07134051748641276
Defensive Midfield,SVM (RBF),100,0.6859375,0.08720653913984892,0.7505738603632498,0.10710776068569747,0.6571653766769866,0.13678279833383772,0.7535602480406807,0.09735841056860106
Defensive Midfield,Logistic (L1),100,0.6825,0.08346968012398275,0.7347896382942823,0.10336744557471123,0.6486851012334759,0.11989511988378478,0.7229909939830123,0.08943397100211435
Defensive Midfield,Logistic Regression,100,0.664375,0.08622055656860492,0.7234828078477662,0.10774993821271726,0.6392117889420521,0.11729525598299988,0.7113399296298387,0.0905697614539649
Defensive Midfield,SVM (Linear),100,0.651875,0.07248652892089674,0.7131745460851501,0.09799195364469135,0.5900581482930554,0.13354978933599235,0.6917269749098189,0.1190695567322051
Defensive Midfield,Neural Net (Medium),100,0.599375,0.08424527063877235,0.5933017287796563,0.07933816611921242,0.880983187134503,0.13879898030812698,0.5762281474384318,0.16752307586442727
Defensive Midfield,Neural Net (Small),100,0.54125,0.04879004765318435,0.5413035317018909,0.048523961224311574,0.9981895424836602,0.010326323725382844,0.36498800872330284,0.1132776446000685
