Model,N_runs,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_mean,AUC_std
XGBoost,100,0.7520168067226891,0.04270850811594483,0.7414760256420065,0.055388629943702375,0.6977010113643533,0.07029747575546709,0.8038930470950483,0.042432299565597076
Gradient Boosting,100,0.7271428571428571,0.04210838758900259,0.7225017860249691,0.05763031303082983,0.6492909882843054,0.07299165601818106,0.7785200953294718,0.04968344518228431
Random Forest,100,0.7084873949579833,0.04417475295701882,0.6812588369827998,0.05403388549517103,0.6741879064170219,0.07068936456242442,0.7733279689566801,0.044090055353647774
LightGBM,100,0.7167226890756301,0.049090233236594207,0.7060858549574134,0.062165910577059065,0.6442176861781006,0.08160888431055088,0.7621053432629306,0.0498788962906932
SVM (RBF),100,0.6310084033613446,0.043407164248051744,0.6036436974194214,0.06059263128711468,0.5522074092749139,0.09517545515629765,0.6672760836664418,0.0503119733817426
AdaBoost,100,0.6095798319327731,0.045244434171833915,0.5927197850169194,0.08012720341137522,0.4616574033416559,0.12204799494945706,0.637960975861364,0.04873316157272125
Logistic (L1),100,0.588235294117647,0.0480390115225427,0.5512082143022867,0.06245218798472123,0.49361080750749353,0.07874084140011717,0.6140707550060863,0.05258929674595795
Logistic Regression,100,0.5857142857142855,0.04673508087893893,0.5476933330509629,0.0584648225384764,0.4957053688486031,0.07855750973784424,0.6119777963070155,0.052927033621546646
Neural Net (Medium),100,0.5757983193277311,0.05635241737370188,0.5442347253459807,0.0811810017493852,0.5758742141901092,0.2182975842689469,0.6098337880038206,0.06817587953631195
SVM (Linear),100,0.5923529411764705,0.04671989290949881,0.5678014532093516,0.07191770188754108,0.4299456431711917,0.10321789893171504,0.6066118939554407,0.06409552183661393
Neural Net (Small),100,0.5486554621848739,0.07115910615326675,0.5403680450119476,0.09803523921112058,0.46894274531243996,0.2495660328287499,0.5276919232202428,0.08984016160091052
