Model,N_runs,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,AUC_mean,AUC_std
XGBoost,100,0.788682171,0.039869687,0.798623177,0.041159682,0.813624286,0.057694794,0.860432396,0.038232843
LightGBM,100,0.78496124,0.038970281,0.793483972,0.040140145,0.812245284,0.05424928,0.838592873,0.042291976
Gradient Boosting,100,0.776356589,0.04076038,0.789184632,0.039722209,0.797420685,0.064784946,0.837270298,0.041112769
Random Forest,100,0.766434109,0.04479594,0.782422682,0.044997544,0.783880414,0.063210087,0.83647262,0.0430845
SVM (RBF),100,0.652635659,0.046623831,0.708556934,0.06044386,0.608202171,0.075418306,0.714268402,0.04937332
AdaBoost,100,0.635193798,0.04503896,0.649787572,0.045832889,0.702779611,0.097667163,0.680532571,0.047773907
Neural Net (Medium),100,0.588449612,0.059554815,0.591556712,0.049719266,0.80284391,0.113628586,0.595825126,0.102822213
Logistic (L1),100,0.574651163,0.04490313,0.627020679,0.055992882,0.51663418,0.071902872,0.581891841,0.05128737
Logistic Regression,100,0.570077519,0.045352746,0.620024956,0.054639564,0.517588109,0.072421413,0.581108532,0.051125521
SVM (Linear),100,0.562325581,0.042351697,0.632200196,0.058707422,0.452031245,0.084410263,0.575330819,0.059468627
Neural Net (Small),100,0.55744186,0.041919209,0.554434282,0.035950583,0.952919965,0.079563245,0.561908395,0.075383608
